"Regulation","Gene","Dataset"
"Down","ECM2","GSE19804"
"Down","ALOX5AP","GSE19804"
"Down","PLA1A","GSE19804"
"Down","SFTPA2","GSE19804"
"Down","RERG","GSE19804"
"Up","CXCL13","GSE19804"
"Up","GPR160","GSE19804"
"Up","DIO1","GSE19804"
"Down","AREG","GSE19804"
"Down","ADM","GSE19804"
"Down","ICAM1","GSE19804"
"Down","PDE4B","GSE19804"
"Down","CST6","GSE19804"
"Down","SEPTIN10","GSE19804"
"Down","MGAM","GSE19804"
"Down","MYC","GSE19804"
"Up","PNMA8A","GSE19804"
"Down","SLCO4A1","GSE19804"
"Up","UGT2B15","GSE19804"
"Down","MRC1","GSE19804"
"Down","KLRB1","GSE19804"
"Up","C15orf48","GSE19804"
"Down","ZBBX","GSE19804"
"Down","PGC","GSE19804"
"Down","CAPSL","GSE19804"
"Up","ZNF750","GSE19804"
