"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"RAMP2",-2.25590345498578,7.55284484309718,-17.9374377735817,8.21770485895785e-32,1.14371115860555e-29,61.9707228478354,"Down"
"CAVIN2",-3.27111875333806,7.12118224194761,-17.8779373130361,1.04313984768798e-31,1.4377100269688e-29,61.7332049581596,"Down"
"FRY",-1.85436671656687,5.8846464545554,-17.8564870390384,1.13693419286169e-31,1.5519151732562e-29,61.6474675613102,"Down"
"CDCA5",2.46378012483,6.40399366513729,17.8514032998104,1.16038240499881e-31,1.56883701155839e-29,61.6271390921853,"Up"
"PIMREG",2.24850095683157,6.22784945398627,17.8402204473244,1.21369194229334e-31,1.62543120875436e-29,61.5824103417518,"Up"
"STARD13",-1.9981461614389,6.35197783392966,-17.8013282501934,1.41907371904363e-31,1.88272621640592e-29,61.4267264476818,"Down"
"NME1",1.97920942680874,10.280628601425,17.7887402932694,1.49278817229766e-31,1.95606408647314e-29,61.3762959726597,"Up"
"SPAG5",2.59197580061077,7.16308509002245,17.7872265149601,1.50190888578171e-31,1.95606408647314e-29,61.3702300377305,"Up"
"ARHGAP44",-2.04666239692426,6.3032102434249,-17.7571252691267,1.69540293904633e-31,2.18799455660925e-29,61.2495490511738,"Down"
"CYYR1",-2.44741217461126,7.51301939916159,-17.741759227372,1.80367440948677e-31,2.30675332586254e-29,61.1878993323159,"Down"
"MMP12",5.6112407323175,7.92165482556319,17.7235228053388,1.94125345266365e-31,2.46053875125118e-29,61.1146942491524,"Up"
"GPIHBP1",-3.19529743138522,6.78849954735635,-17.6909481610454,2.21386714563511e-31,2.78124407074655e-29,60.983826464376,"Down"
"BUB1",2.17872041845026,5.05395235940193,17.6854101702648,2.26391246183948e-31,2.81916678142748e-29,60.9615642269054,"Up"
"DLC1",-1.68280391324161,7.99081704003787,-17.6526115000817,2.58457959820555e-31,3.19049495444574e-29,60.8296359748389,"Down"
"MTARC2",-1.79317979919701,6.82659826109705,-17.5888841338704,3.34455695783638e-31,4.09304573909011e-29,60.5729073191452,"Down"
"FOXF1",-2.64503512609008,7.52626990231339,-17.5818194860287,3.44161756882475e-31,4.17582931684069e-29,60.5444150193328,"Down"
"NDC80",2.69692973892661,5.52810784105351,17.5600029915338,3.75964397213781e-31,4.52304286681935e-29,60.456386941474,"Up"
"LDB2",-2.56328869654556,7.78971623423949,-17.5578151670121,3.79312743036811e-31,4.52497789928619e-29,60.447555851618,"Down"
"PBK",3.34898369814586,5.79595648936435,17.4702732230042,5.41118031654666e-31,6.4014263144747e-29,60.0936916426917,"Up"
"STX12",-1.15324140550359,9.17088949366621,-17.4592903484503,5.65821186243184e-31,6.63834509083326e-29,60.0492269791691,"Down"
"STIL",2.40225720145642,5.67289709716015,17.4029927793966,7.11476712596572e-31,8.27878968198438e-29,59.8210605962327,"Up"
"FOXM1",3.05855561942781,5.96403442213971,17.3502212005542,8.82204780676403e-31,1.0181934200392e-28,59.606814947707,"Up"
"GLIPR2",-2.29551527138189,7.56649722557527,-17.3460591087429,8.97311123091493e-31,1.02727650833926e-28,59.5899021805019,"Down"
"NCAPG",2.52471304105512,5.63414029050133,17.2931663333825,1.11360662227119e-30,1.26470076878095e-28,59.3747770782731,"Up"
"FCN3",-4.47976015878941,8.45269639499822,-17.2792040872078,1.17900354101025e-30,1.32834398953821e-28,59.3179299296212,"Down"
"CAB39L",-1.56968565411578,5.89306821975182,-17.2679114695292,1.23471748568925e-30,1.38016137219248e-28,59.2719338095258,"Down"
"CAV1",-2.7444770878953,11.1726337352085,-17.2568952818119,1.29162362371014e-30,1.43249132517103e-28,59.2270478163611,"Down"
"FGD5",-1.71344596767263,6.53391745834687,-17.214450735454,1.53671686259379e-30,1.69110330088229e-28,59.0539594983898,"Down"
"ACVRL1",-1.69603460063738,6.86865650338024,-17.2065446197289,1.58730464396656e-30,1.73333667121148e-28,59.0216928507993,"Down"
"FMO2",-3.60555572830945,8.75038667805062,-17.1955124903661,1.66071157990872e-30,1.79965355636521e-28,58.9766547911573,"Down"
"CDCA8",2.17824591135819,5.9823008070678,17.0935989539844,2.523404319896e-30,2.71380664585179e-28,58.5598575390602,"Up"
"FGR",-2.56714072940011,7.89602807824791,-17.0900330450529,2.56067545124571e-30,2.73318411322437e-28,58.5452497741477,"Down"
"FHL5",-2.04983137137177,4.98393174714993,-17.087048488183,2.59229631898014e-30,2.74628645852552e-28,58.5330222620371,"Down"
"ARHGAP31",-1.06925427498592,5.67492472527119,-17.0733686973435,2.74234184233592e-30,2.88372479954079e-28,58.476962474021,"Down"
"CENPA",2.49540183573821,5.72427390985116,17.0692612339668,2.78908008688486e-30,2.91130742010422e-28,58.4601253821097,"Up"
"SCARA5",-3.14731789462026,6.3849024272108,-17.0636893530585,2.8537672535512e-30,2.9570861263805e-28,58.4372819553194,"Down"
"TYMS",2.48235312218239,8.12936106900811,17.0557660496072,2.94836543712358e-30,3.03297070618887e-28,58.4047913511683,"Up"
"CDCA3",2.29287160252837,6.10331361659255,17.0389695744488,3.15948386749499e-30,3.21590399451136e-28,58.3358883310589,"Up"
"MYBL2",1.93602291270162,6.37768584792499,17.0380476628166,3.17150295316702e-30,3.21590399451136e-28,58.3321053843767,"Up"
"SNX25",-1.73736438061192,6.61256375765409,-17.0337060187339,3.22872781208172e-30,3.25071063973845e-28,58.3142885299966,"Down"
"CHEK1",1.96661009636851,5.08487705639436,17.029012630745,3.29175963527196e-30,3.29083237903667e-28,58.2950254883021,"Up"
"CRBN",-1.30917253457353,8.37627626156649,-17.022294807956,3.38414304757682e-30,3.3595310981399e-28,58.2674486333763,"Down"
"RAI2",-2.3139379856817,6.77189721422048,-17.0076740006315,3.59434021278582e-30,3.54342039310469e-28,58.2074096998754,"Down"
"GPX3",-2.97761469674386,11.0360601003682,-16.9994864496189,3.71774509322753e-30,3.63980064437641e-28,58.1737762799667,"Down"
"TRIP13",3.09784270196248,7.082387697882,16.9939127986972,3.804186191679e-30,3.69891966966268e-28,58.150875487536,"Up"
"TMEM88",-1.55956434598127,6.52776584955292,-16.9688044504965,4.21940202737824e-30,4.07473681501098e-28,58.0476616749369,"Down"
"RGS13",-1.65636071711165,4.77391547868946,-16.9632160363515,4.31786397497846e-30,4.1416484451888e-28,58.024678119769,"Down"
"NUF2",2.66941550067395,5.32131877019366,16.9199893291615,5.16199191579639e-30,4.91809645883527e-28,57.8467629875177,"Up"
"KPNA2",1.66306783207222,10.5893146974554,16.9150634203499,5.26818358033257e-30,4.98580894042674e-28,57.8264733409004,"Up"
"TMPRSS4",3.93085627767829,7.42359351784171,16.9045822068385,5.50151727301779e-30,5.17215491442123e-28,57.78329117805,"Up"
"CAPN3",-2.12336880541566,5.85225185137462,-16.8603339187238,6.60705442994816e-30,6.17064109786474e-28,57.600833951715,"Down"
"PTPRB",-2.10643443022895,5.77009145634204,-16.8305388599095,7.47511747845148e-30,6.93573645255537e-28,57.4778321816995,"Down"
"RAP1A",-1.56477223888484,6.50266297596992,-16.7988101465643,8.52631232609489e-30,7.85970972605475e-28,57.3467219046724,"Down"
"ALDH18A1",1.55067463093701,8.2196865844006,16.7807392650117,9.19034079097191e-30,8.41716631410563e-28,57.271990867177,"Up"
"MFNG",-1.63054485665789,6.17652626582534,-16.7208669808434,1.17861593927948e-29,1.07254050474433e-27,57.0240916835938,"Down"
"GPR146",-1.94744695784734,5.18252797238737,-16.7100369288618,1.23292450919419e-29,1.1148150530268e-27,56.9792008293813,"Down"
"MKI67",2.01916838720179,5.57712619554422,16.6799136316335,1.39761454791966e-29,1.25573013432072e-27,56.8542593860323,"Up"
"ARRB1",-1.89972839832741,6.94122053484263,-16.6761348348856,1.41978148960627e-29,1.26762377524847e-27,56.8385779272842,"Down"
"DSP",3.80001445536035,9.5558841227539,16.6575367360074,1.53415192166966e-29,1.3611762925014e-27,56.7613716681624,"Up"
"ESAM",-2.21592724328933,7.79916716861639,-16.6476011975394,1.59900983234583e-29,1.40990953912928e-27,56.7201079957249,"Down"
"SLC46A2",-2.63789365910237,5.98843563573586,-16.6336653596424,1.69466322080645e-29,1.48502710386225e-27,56.662209064807,"Down"
"SH2D3C",-1.91286081767865,7.00438693640423,-16.6267469917633,1.74427038104204e-29,1.51912038829895e-27,56.6334561614504,"Down"
"CDC45",2.73140901809023,5.91263188510452,16.6235206116683,1.76790230410929e-29,1.53031348226436e-27,56.6200451368277,"Up"
"AQP4",-3.79079407797355,6.77642532750438,-16.5973393492501,1.97199501515588e-29,1.69663280213048e-27,56.5111683826598,"Down"
"TMEM139",-2.01542408569098,5.57767758350245,-16.5945183006792,1.99535685782413e-29,1.70639072010069e-27,56.4994315617895,"Down"
"SOX17",-2.47158047463316,5.72546961250827,-16.580073077617,2.1194232868226e-29,1.80163670537327e-27,56.4393168994935,"Down"
"ICAM2",-2.07387626155475,8.14642153313543,-16.5701359152163,2.20925541394661e-29,1.86682082478489e-27,56.3979471730712,"Down"
"KLF2",-2.07087238350394,7.18532450374563,-16.554040643325,2.36296838108051e-29,1.98489344010763e-27,56.3309133920316,"Down"
"KNTC1",1.41221539235578,5.22821272817864,16.5515784741425,2.38741471528531e-29,1.99363172342296e-27,56.3206559730757,"Up"
"RILPL2",-1.26938301033119,9.58103521673758,-16.5391826846703,2.51441492187727e-29,2.08740551058302e-27,56.2690031227709,"Down"
"AGTPBP1",-0.742709237684065,5.10257665707975,-16.4921856327434,3.06093672058627e-29,2.52634056310713e-27,56.0729878998069,"NS"
"ZNF385B",-3.25009497693723,6.61324976962066,-16.3985376482996,4.5333992115493e-29,3.72000781544242e-27,55.6815515869561,"Down"
"RFC4",2.63889527515037,8.16318465842811,16.3854553598049,4.78950361500601e-29,3.90757432865663e-27,55.6267792950693,"Up"
"FAM162B",-2.53519084108586,7.95060285546571,-16.3799014431274,4.902590243809e-29,3.97698120577786e-27,55.6035197521076,"Down"
"HPGDS",-2.5641663275588,6.79679022977991,-16.3732664830464,5.0412202182943e-29,4.06620239880147e-27,55.5757276357614,"Down"
"FAM83D",3.59918504794875,7.53218511788105,16.3409983571042,5.77385481896563e-29,4.6308272887026e-27,55.4404839449395,"Up"
"COL6A6",-1.92324802012678,5.54478160014296,-16.3359927757537,5.89674759277231e-29,4.69442126406703e-27,55.4194922884637,"Down"
"TNS2",-1.97344802022405,7.61483521881835,-16.3350862925273,5.91928294074386e-29,4.69442126406703e-27,55.4156904695696,"Down"
"FAM184A",-1.77243560770201,6.43188231341798,-16.329446187395,6.06145914872768e-29,4.78047078196323e-27,55.3920333127849,"Down"
"BDH2",-1.09956801802362,5.48301322706404,-16.3204495819327,6.29540070304106e-29,4.937541899468e-27,55.3542889844839,"Down"
"CFD",-2.99414413198891,9.7394182266095,-16.3109742693909,6.55163217334166e-29,5.08894941529515e-27,55.3145250083573,"Down"
"LGI3",-1.48395932094021,6.46343520200679,-16.3106660244644,6.56014189207532e-29,5.08894941529515e-27,55.3132312372393,"Down"
"CENPF",2.46804832475068,5.35316050608474,16.2991171135275,6.88712482487107e-29,5.31356652249292e-27,55.2647491157418,"Up"
"ABCA3",-2.74385145622581,8.42162129441514,-16.2817002024822,7.41156770342424e-29,5.68727649285462e-27,55.1916007204393,"Down"
"EFCC1",-1.25796204195282,5.23357680307187,-16.2594841376944,8.13933180168282e-29,6.21214807831663e-27,55.0982398630578,"Down"
"PAFAH1B3",1.78919730258726,7.7654324198289,16.2418362005133,8.76844130154896e-29,6.65651297950743e-27,55.0240307872503,"Up"
"GARS1",1.27014040566246,10.5691440037172,16.2402231732898,8.82833008968516e-29,6.66632840176439e-27,55.017246051736,"Up"
"ITGA8",-1.84353046403192,6.01804031896553,-16.2359148176729,8.99031912717055e-29,6.73068532879223e-27,54.999122548214,"Down"
"HHIP",-2.61737728567578,5.58579384374199,-16.2354392036841,9.00838413969093e-29,6.73068532879223e-27,54.997121686603,"Down"
"KIF23",2.7274239099824,5.19264412317055,16.2068470436659,1.01643265103148e-28,7.55459576651457e-27,54.8767837201502,"Up"
"CHRDL1",-3.89363817404737,7.43375788752441,-16.1658272085183,1.20886774466627e-28,8.93806588712622e-27,54.7039565438838,"Down"
"PIP5K1B",-2.82334269861283,6.78392750039076,-16.1341728413084,1.38213444065876e-28,1.01662075231046e-26,54.5704403710607,"Down"
"DOCK4",-2.15176404577231,8.25904109953032,-16.1229260655709,1.44954567980637e-28,1.06070878714078e-26,54.5229711000894,"Down"
"CAT",-1.69127891128641,9.55977791591282,-16.0875921922526,1.68365286309766e-28,1.2256992843351e-26,54.3737314698464,"Down"
"CLEC14A",-2.14025733154734,7.69982358946626,-16.0827073366024,1.71888564410084e-28,1.24496431651303e-26,54.353086668671,"Down"
"ADIRF",-3.42481502611538,8.35074810843187,-16.0749221629323,1.77657874530684e-28,1.28021887656731e-26,54.320177944682,"Down"
"PTTG1",2.34021310555631,8.74782603690202,16.0703085449852,1.81168487415784e-28,1.29892315522953e-26,54.3006720299963,"Up"
"LRRK2",-3.91477475555695,8.01055074083211,-16.0400066572174,2.06028526789575e-28,1.46973917904764e-26,54.1724906184049,"Down"
"PLPP2",2.62590692543972,6.56538748942493,16.0321582944464,2.130098648773e-28,1.51194402089908e-26,54.1392716378735,"Up"
"DSG2",2.47973167327311,8.24599287958105,16.0196434117751,2.24638483377039e-28,1.58655119901515e-26,54.0862847554705,"Up"
"MCM4",2.16132156469489,6.21534344725613,16.0105180740122,2.33518790224405e-28,1.64110531981468e-26,54.0476362012334,"Up"
"RBMS3",-1.74152282558845,6.64389941501126,-16.001627460403,2.42510653478171e-28,1.69590208708183e-26,54.0099714756181,"Down"
"ST6GALNAC6",-1.06245617914575,6.14139278803232,-15.9974384924249,2.46867384417452e-28,1.71790656332851e-26,53.9922215592759,"Down"
"CRY2",-1.33111413257244,7.04262889837112,-15.9581195634852,2.91805986272604e-28,2.02072086884189e-26,53.8255054761101,"Down"
"CKAP4",1.52637608374668,9.52190206785344,15.946908463214,3.06068844041951e-28,2.10920063593181e-26,53.7779329134553,"Up"
"SLC11A1",-1.41465220256931,5.99193137263574,-15.9432168646186,3.10917350301632e-28,2.13226217627148e-26,53.7622646533399,"Down"
